,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
1365,-21.927251,-50.490251,SP,TUPA,5,21.487837854349998,POINT (-50.490251 -21.927251)
1737,-21.228373,-43.767703,MG,BARBACENA,5,17.132431845717775,POINT (-43.767703 -21.228373)
3515,-16.554101,-46.881935,MG,UNAI,5,22.76733870967741,POINT (-46.881935 -16.554101)
2649,-19.735757,-42.137146,MG,CARATINGA,5,22.395367188388132,POINT (-42.137146 -19.735757)
3393,-17.25777777,-44.83555555,MG,PIRAPORA,5,21.947227145898744,POINT (-44.83555555 -17.25777777)
1533,-21.680722,-45.944389,MG,MACHADO,5,18.623252688172066,POINT (-45.944389 -21.680722)
675,-22.86138888,-46.04333333,MG,MONTE VERDE,5,12.72887436455418,POINT (-46.04333333 -22.86138888)
1485,-21.769965,-43.364329,MG,JUIZ DE FORA,5,18.16532258064516,POINT (-43.364329 -21.769965)
1131,-22.35805555,-43.69555555,RJ,VALENCA,5,20.717809139323794,POINT (-43.69555555 -22.35805555)
43,-24.71666666,-47.55,SP,IGUAPE,5,19.813257721221433,POINT (-47.55 -24.71666666)
1701,-21.31916666,-50.93027777,SP,VALPARAISO,5,20.655291383161536,POINT (-50.93027777 -21.31916666)
3635,-15.751536,-41.457787,MG,AGUAS VERMELHAS,5,20.448001411105874,POINT (-41.457787 -15.751536)
2673,-19.71,-47.96194444,MG,UBERABA,5,18.651344086021517,POINT (-47.96194444 -19.71)
537,-22.97527777,-42.02138888,RJ,ARRAIAL DO CABO,5,23.769399594781035,POINT (-42.02138888 -22.97527777)
2685,-19.71,-47.96166666,MG,UBERABA,5,20.424394841269848,POINT (-47.96166666 -19.71)
3033,-18.786842,-42.942921,MG,GUANHAES,5,20.76670873880657,POINT (-42.942921 -18.786842)
2793,-19.532768,-41.090801,MG,AIMORES,5,23.40888753304862,POINT (-41.090801 -19.532768)
1569,-21.66527777,-49.73416666,SP,LINS,5,20.748231978671964,POINT (-49.73416666 -21.66527777)
